Date;Disturbed;females;Field;Field 2;Field 3;Field 4;Fish Family;Genus;HCvsEF;juveniles;length;males;number caught;number seen;sampleID;Site;Species;weight
18/12/2010;disturbed;;;;;;;;HC;;;;1;0;103;Maracas d;Andinoacara pulcher;4.3
18/12/2010;disturbed;;;;;;;;HC;;;;1;0;103;Maracas d;Andinoacara pulcher;10.1
18/12/2010;disturbed;;;;;;;;;;;;0;45;103;Maracas d;Astyanax bimaculatus;13
18/12/2010;disturbed;;;;;;;;HC;;;;0;12;103;Maracas d;Andinoacara pulcher;15
18/12/2010;disturbed;;;;;;;;HC;;;;1;0;103;Maracas d;Astyanax bimaculatus;5.8
18/12/2010;disturbed;;;;;;;;HC;;;;1;0;103;Maracas d;Astyanax bimaculatus;3.8
18/12/2010;disturbed;;;;;;;;HC;;;;1;0;103;Maracas d;Astyanax bimaculatus;9.1
18/12/2010;disturbed;;;;;;;;HC;;;;1;0;103;Maracas d;Astyanax bimaculatus;6.7
18/12/2010;disturbed;;;;;;;;HC;;;;1;0;103;Maracas d;Astyanax bimaculatus;5.1
18/12/2010;disturbed;;;;;;;;HC;;;;1;0;103;Maracas d;Astyanax bimaculatus;10.9
18/12/2010;disturbed;;;;;;;;HC;;;;1;0;103;Maracas d;Astyanax bimaculatus;5.1
18/12/2010;disturbed;;;;;;;;HC;;;;1;0;103;Maracas d;Hemibrycon taeniurus;2.7
18/12/2010;disturbed;;;;;;;;;;;;0;15;103;Maracas d;Hemibrycon taeniurus;4
18/12/2010;disturbed;;;;;;;;HC;;;;1;0;103;Maracas d;Rivulus hartii;1.6
18/12/2010;disturbed;40;;;;;;;HC;87;;32;159;0;103;Maracas d;Poecilia reticulata;0.09
18/12/2010;undisturbed;;;;;;;;HC;;;;1;0;104;Maracas u;Andinoacara pulcher;43
18/12/2010;undisturbed;;;;;;;;HC;;;;1;0;104;Maracas u;Andinoacara pulcher;8
18/12/2010;undisturbed;;;;;;;;HC;;;;1;0;104;Maracas u;Andinoacara pulcher;27.3
18/12/2010;undisturbed;;;;;;;;HC;;;;3;0;104;Maracas u;Astyanax bimaculatus;3.5
18/12/2010;undisturbed;;;;;;;;HC;;;;3;0;104;Maracas u;Astyanax bimaculatus;5
18/12/2010;undisturbed;;;;;;;;HC;;;;3;0;104;Maracas u;Astyanax bimaculatus;4.4
18/12/2010;undisturbed;;;;;;;;HC;;;;1;0;104;Maracas u;Astyanax bimaculatus;2.8
18/12/2010;undisturbed;;;;;;;;HC;;;;1;0;104;Maracas u;Astyanax bimaculatus;17.4
